time,user,task,trial,cursor_x,cursor_y,target_x,target_y,target_radius,target_speed,click_action,click_success
0.0,0,0,1,0.03222715932969746,0.15898725774725855,0.3958956884829999,0.16014407207072456,0.023386310170601318,0.46497280819090214,0,0
0.05,0,0,1,0.0244400783511748,0.17734275411527442,0.3798765869893088,0.1432951056861905,0.023386310170601318,0.46497280819090214,0,0
0.1,0,0,1,0.02073341856097779,0.18177936056918337,0.36385748549561775,0.12644613930165644,0.023386310170601318,0.46497280819090214,0,0
0.15000000000000002,0,0,1,0.019478445897945815,0.19380491819150636,0.3478383840019267,0.10959717291712238,0.023386310170601318,0.46497280819090214,0,0
0.2,0,0,1,0.018002474087472405,0.20551870756849952,0.3318192825082356,0.09274820653258833,0.023386310170601318,0.46497280819090214,0,0
0.25,0,0,1,0.019337347604391847,0.21310425106129433,0.31580018101454455,0.07589924014805428,0.023386310170601318,0.46497280819090214,0,0
0.30000000000000004,0,0,1,0.028407768452475675,0.2148231074536834,0.2997810795208535,0.059050273763520233,0.023386310170601318,0.46497280819090214,0,0
0.35000000000000003,0,0,1,0.03768320377067854,0.21306746898935144,0.2837619780271624,0.04220130737898618,0.023386310170601318,0.46497280819090214,0,0
0.4,0,0,1,0.05062474604680091,0.20828187357235275,0.26774287653347134,0.02535234099445213,0.023386310170601318,0.46497280819090214,0,0
0.45,0,0,1,0.06224167962258319,0.20227073709593313,0.2517237750397803,0.03826924573128456,0.023386310170601318,0.46497280819090214,0,0
0.5,0,0,1,0.07273785376191198,0.19469516915217733,0.2357046735460892,0.05511821211581862,0.023386310170601318,0.46497280819090214,0,0
0.55,0,0,1,0.08263107384940478,0.1873751628174649,0.21968557205239814,0.07196717850035267,0.023386310170601318,0.46497280819090214,0,0
0.6,0,0,1,0.09401593313953628,0.18136060129159204,0.20366647055870707,0.08881614488488672,0.023386310170601318,0.46497280819090214,0,0
0.65,0,0,1,0.10475103589129417,0.17579385796139863,0.187647369065016,0.10566511126942077,0.023386310170601318,0.46497280819090214,0,0
0.7,0,0,1,0.11590604938518617,0.16977679425477127,0.17162826757132493,0.12251407765395482,0.023386310170601318,0.46497280819090214,0,0
0.75,0,0,1,0.12694276309430913,0.16337953186682763,0.15560916607763386,0.13936304403848887,0.023386310170601318,0.46497280819090214,0,0
0.7999999999999999,0,0,1,0.13425668428572485,0.15952563362265312,0.1395900645839428,0.15621201042302293,0.023386310170601318,0.46497280819090214,0,0
0.8381584115581544,0,0,1,0.1348777582629877,0.16048028724623922,0.1273647952321806,0.1690706062956341,0.023386310170601318,0.46497280819090214,1,1
0.0,0,0,2,0.04735628099609517,0.2220492216091426,0.07320265000839446,0.14452119181783327,0.02041219650262576,0.2776079192612554,0,0
0.05,0,0,2,0.035730319896159435,0.22838161107274937,0.0827351300649555,0.13443173117503004,0.02041219650262576,0.2776079192612554,0,0
0.1,0,0,2,0.028556689407277205,0.22465224069616666,0.09226761012151655,0.12434227053222682,0.02041219650262576,0.2776079192612554,0,0
0.15000000000000002,0,0,2,0.027100298720286756,0.21029809181971873,0.10180009017807759,0.1142528098894236,0.02041219650262576,0.2776079192612554,0,0
0.2,0,0,2,0.036116109203546576,0.18736830770648588,0.11133257023463863,0.10416334924662038,0.02041219650262576,0.2776079192612554,0,0
0.25,0,0,2,0.050113516102262314,0.16432543117791626,0.12086505029119968,0.09407388860381716,0.02041219650262576,0.2776079192612554,0,0
0.30000000000000004,0,0,2,0.06568049277121545,0.14526473571617216,0.13039753034776072,0.08398442796101394,0.02041219650262576,0.2776079192612554,0,0
0.35000000000000003,0,0,2,0.08249648862206059,0.12687668251468293,0.13993001040432176,0.07389496731821071,0.02041219650262576,0.2776079192612554,0,0
0.4,0,0,2,0.09740834604858042,0.11266760281200157,0.1494624904608828,0.06380550667540749,0.02041219650262576,0.2776079192612554,0,0
0.45,0,0,2,0.11424464974120058,0.09734465914991101,0.15899497051744385,0.05371604603260428,0.02041219650262576,0.2776079192612554,0,0
0.5,0,0,2,0.12848717423245923,0.08655677551914134,0.1685274505740049,0.04362658538980106,0.02041219650262576,0.2776079192612554,0,0
0.55,0,0,2,0.1447127236007592,0.0759157688496266,0.17805993063056594,0.03353712474699785,0.02041219650262576,0.2776079192612554,0,0
0.6,0,0,2,0.1606467758120267,0.06634970709956255,0.18759241068712698,0.023447664104194632,0.02041219650262576,0.2776079192612554,0,0
0.65,0,0,2,0.1744377438663936,0.059564282570560734,0.19712489074368802,0.027466189543860105,0.02041219650262576,0.2776079192612554,0,0
0.7,0,0,2,0.1875593188876482,0.05682947130081213,0.20665737080024907,0.03755565018666332,0.02041219650262576,0.2776079192612554,0,0
0.7,0,0,2,0.1875593188876482,0.05682947130081213,0.20665737080024907,0.03755565018666332,0.02041219650262576,0.2776079192612554,1,0
0.0,0,0,3,0.14571183270876636,0.0008119019507475378,0.19936055980139783,0.024701788291716337,0.018988828857919922,0.17820870446732004,0,0
0.05,0,0,3,0.14510053888091298,0.003332918520416847,0.14729514122272008,0.06196392713743109,0.018988828857919922,0.17820870446732004,0,0
0.1,0,0,3,0.14350018290503022,0.010897284986318662,0.14078696390038536,0.06804993435159454,0.018988828857919922,0.17820870446732004,0,0
0.15000000000000002,0,0,3,0.13833546054749216,0.030389339883708736,0.13427878657805065,0.07413594156575798,0.018988828857919922,0.17820870446732004,0,0
0.2,0,0,3,0.13048508396687933,0.05559124345600108,0.12777060925571593,0.08022194877992142,0.018988828857919922,0.17820870446732004,0,0
